poll_time;ip;tree;onuid;seq;date_up;date_down;time_up;time_down;reason
2022-01-14 16:41:51.713008;172.25.7.32;4;39;1;2022-01-13;19:26:17
;;;;2;2022-01-12;17:30:46;2022-01-13;19:25:39;dying-gasp
;;;;3;2022-01-12;05:22:46;2022-01-12;17:25:08;dying-gasp
;;;;4;2022-01-11;08:25:23;2022-01-12;05:16:48;dying-gasp
;;;;5;2022-01-04;18:16:57;2022-01-11;08:24:46;dying-gasp
;;;;6;2022-01-04;18:15:01;2022-01-04;18:16:20;dying-gasp
;;;;7;2021-12-25;18:43:15;2022-01-04;17:53:17;dying-gasp
;;;;8;2021-12-25;04:23:58;2021-12-25;17:53:55;dying-gasp
;;;;9;2021-12-09;13:05:58;2021-12-25;04:18:25;dying-gasp
;;;;10;2021-12-03;16:48:07;2021-12-09;12:38:55;dying-gasp
2022-01-14 16:42:09.070877;172.25.7.32;4;39;1;2022-01-13;19:26:18
;;;;2;2022-01-12;17:30:47;2022-01-13;19:25:40;dying-gasp
;;;;3;2022-01-12;05:22:47;2022-01-12;17:25:09;dying-gasp
;;;;4;2022-01-11;08:25:24;2022-01-12;05:16:49;dying-gasp
;;;;5;2022-01-04;18:16:58;2022-01-11;08:24:47;dying-gasp
;;;;6;2022-01-04;18:15:02;2022-01-04;18:16:21;dying-gasp
;;;;7;2021-12-25;18:43:16;2022-01-04;17:53:18;dying-gasp
;;;;8;2021-12-25;04:23:59;2021-12-25;17:53:56;dying-gasp
;;;;9;2021-12-09;13:05:59;2021-12-25;04:18:26;dying-gasp
;;;;10;2021-12-03;16:48:08;2021-12-09;12:38:56;dying-gasp
2022-01-14 16:42:13.904749;172.25.7.32;4;39;1;2022-01-13;19:26:17
;;;;2;2022-01-12;17:30:46;2022-01-13;19:25:39;dying-gasp
;;;;3;2022-01-12;05:22:46;2022-01-12;17:25:08;dying-gasp
;;;;4;2022-01-11;08:25:23;2022-01-12;05:16:48;dying-gasp
;;;;5;2022-01-04;18:16:57;2022-01-11;08:24:46;dying-gasp
;;;;6;2022-01-04;18:15:01;2022-01-04;18:16:20;dying-gasp
;;;;7;2021-12-25;18:43:15;2022-01-04;17:53:17;dying-gasp
;;;;8;2021-12-25;04:23:58;2021-12-25;17:53:55;dying-gasp
;;;;9;2021-12-09;13:05:58;2021-12-25;04:18:25;dying-gasp
;;;;10;2021-12-03;16:48:07;2021-12-09;12:38:55;dying-gasp
2022-01-14 16:59:39.547400;172.25.7.27;3;63;1;2022-01-14;12:25:01
;;;;2;2022-01-14;12:22:02;2022-01-14;12:24:53;dying-gasp
2022-01-14 17:02:07.435474;172.25.7.27;3;63;1;2022-01-14;12:25:01
;;;;2;2022-01-14;12:22:02;2022-01-14;12:24:53;dying-gasp
2022-01-14 17:09:46.169445;172.25.7.27;3;63;1;2022-01-14;17:02:09
;;;;2;2022-01-14;12:25:01;2022-01-14;17:02:07;losi
;;;;3;2022-01-14;12:22:02;2022-01-14;12:24:53;dying-gasp
2022-01-14 17:10:07.749236;172.25.7.27;3;63;1;2022-01-14;17:02:09
;;;;2;2022-01-14;12:25:01;2022-01-14;17:02:07;losi
;;;;3;2022-01-14;12:22:02;2022-01-14;12:24:53;dying-gasp
2022-01-14 17:10:24.750480;172.25.7.27;3;63;1;2022-01-14;17:02:09
;;;;2;2022-01-14;12:25:01;2022-01-14;17:02:07;losi
;;;;3;2022-01-14;12:22:02;2022-01-14;12:24:53;dying-gasp
2022-01-14 17:10:31.502776;172.25.7.27;3;63;1;2022-01-14;17:02:09
;;;;2;2022-01-14;12:25:01;2022-01-14;17:02:07;losi
;;;;3;2022-01-14;12:22:02;2022-01-14;12:24:53;dying-gasp
2022-01-14 17:10:37.123886;172.25.7.27;3;63;1;2022-01-14;17:02:09
;;;;2;2022-01-14;12:25:01;2022-01-14;17:02:07;losi
;;;;3;2022-01-14;12:22:02;2022-01-14;12:24:53;dying-gasp
2022-01-14 17:10:45.054981;172.25.7.27;3;63;1;2022-01-14;17:02:09
;;;;2;2022-01-14;12:25:01;2022-01-14;17:02:07;losi
;;;;3;2022-01-14;12:22:02;2022-01-14;12:24:53;dying-gasp
2022-01-14 17:11:25.893915;172.25.7.27;3;56;1;2022-01-14;12:22:07
2022-01-14 17:11:28.960032;172.25.7.27;3;56;1;2022-01-14;12:22:07
2022-01-14 17:11:33.430778;172.25.7.27;3;55;1;2022-01-14;12:21:57
2022-01-14 17:11:43.247700;172.25.7.27;3;63;1;2022-01-14;17:02:09
;;;;2;2022-01-14;12:25:01;2022-01-14;17:02:07;losi
;;;;3;2022-01-14;12:22:02;2022-01-14;12:24:53;dying-gasp
2022-01-15 14:15:07.870903;172.24.30.227;8;29;1;2022-01-15;14:14:21
;;;;2;2022-01-15;13:26:10;2022-01-15;14:12:12;dying-gasp
;;;;3;2022-01-14;22:47:31;2022-01-14;23:33:39;dying-gasp
;;;;4;2021-12-17;14:57:34;2022-01-14;22:46:48;dying-gasp
;;;;5;2021-12-16;15:12:15;2021-12-17;09:08:58;dying-gasp
;;;;6;2021-12-05;14:39:41;2021-12-16;10:10:01;dying-gasp
;;;;7;2021-11-03;06:34:45;2021-12-04;20:58:50;dying-gasp
;;;;8;2021-10-25;11:28:25;2021-11-03;05:56:42;dying-gasp
;;;;9;2021-10-25;09:05:13;2021-10-25;11:27:50;dying-gasp
;;;;10;2021-10-25;08:45:48;2021-10-25;09:02:38;dying-gasp
